Morning,Morning,,,,,,,,,,,,,,,,,,,
Water,Carbonated water,,,,,,,,,,,,,,,,,,,
Coffee,Coffee,Fruit juice,Water,,,,,,,,,,,,,,,,,
Fruit juice,Coffee,Fruit juice,Water,,,,,,,,,,,,,,,,,
Carbonated water,Coffee,Fruit juice,,,,,,,,,,,,,,,,,,
Tea (caffinated);Soda,Coffee,Fruit juice,,,,,,,,,,,,,,,,,,
Water,Coffee,Tea (caffinated),Fruit juice,,,,,,,,,,,,,,,,,
Coffee,Coffee,Tea (caffinated),Herbal tea,Fruit juice,Vegatable juice,Water,Carbonated water,Sports drink,Caffeine energy drink,Soda,Champagne,Wine (red),Wine (white),Beer,Shots,Spirits,Whiskies,Mixed alcoholic drinks,None,Other
Tea (caffinated);Water,Coffee,Tea (caffinated),Vegatable juice,Water,,,,,,,,,,,,,,,,
Tea (caffinated);Water,Coffee,Tea (caffinated),Water,,,,,,,,,,,,,,,,,
Water,Coffee,Water,Carbonated water,,,,,,,,,,,,,,,,,
Coffee,Coffee,Water,Sports drink,,,,,,,,,,,,,,,,,
Tea (caffinated),Coffee,Water,,,,,,,,,,,,,,,,,,
Herbal tea;Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee;Tea (caffinated);Fruit juice,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee,Coffee,Water,,,,,,,,,,,,,,,,,,
Water;Carbonated water;Other,Coffee,Water,,,,,,,,,,,,,,,,,,
Tea (caffinated);Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Water,Coffee,Water,,,,,,,,,,,,,,,,,,
Fruit juice;Water;Carbonated water,Coffee,Water,,,,,,,,,,,,,,,,,,
Coffee;Tea (caffinated);Water,Coffee,,,,,,,,,,,,,,,,,,,
Water,Coffee,,,,,,,,,,,,,,,,,,,
Coffee;Tea (caffinated);Vegatable juice;Water,Coffee,,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,,,,,,,,,,,,,,,,,,,
Coffee;Water,Coffee,,,,,,,,,,,,,,,,,,,
Tea (caffinated);Vegatable juice;Water,Coffee,,,,,,,,,,,,,,,,,,,
Tea (caffinated),Coffee,,,,,,,,,,,,,,,,,,,
Coffee,Coffee,,,,,,,,,,,,,,,,,,,
Tea (caffinated);Fruit juice,Fruit juice,Water,Carbonated water,,,,,,,,,,,,,,,,,
Coffee;Fruit juice,Fruit juice,Water,,,,,,,,,,,,,,,,,,
Coffee;Water,Fruit juice,,,,,,,,,,,,,,,,,,,
Coffee;Water,Herbal tea,Water,,,,,,,,,,,,,,,,,,
Coffee,Herbal tea,,,,,,,,,,,,,,,,,,,
Coffee;Tea (caffinated);Herbal tea;Fruit juice;Vegatable juice;Water;Carbonated water;Sports drink;Caffeine energy drink;Soda;Champagne;Wine (red);Wine (white);Beer;Shots;Spirits;Whiskies;Mixed alcoholic drinks;None;Other,Tea (caffinated),Fruit juice,Water,,,,,,,,,,,,,,,,,
Tea (caffinated);Water;Other,Tea (caffinated),Fruit juice,,,,,,,,,,,,,,,,,,
Herbal tea,Tea (caffinated),Herbal tea,,,,,,,,,,,,,,,,,,
Tea (caffinated);Water,Tea (caffinated),Mixed alcoholic drinks,None,Other,,,,,,,,,,,,,,,,
Coffee,Tea (caffinated),Soda,,,,,,,,,,,,,,,,,,
Coffee,Tea (caffinated),Vegatable juice,Water,,,,,,,,,,,,,,,,,
Tea (caffinated);Water,Tea (caffinated),Water,Other,,,,,,,,,,,,,,,,,
Tea (caffinated);Herbal tea,Tea (caffinated),Water,,,,,,,,,,,,,,,,,,
Coffee;Water;Carbonated water,Tea (caffinated),Water,,,,,,,,,,,,,,,,,,
Coffee,Tea (caffinated),Water,,,,,,,,,,,,,,,,,,
Coffee;Water,Tea (caffinated),Water,,,,,,,,,,,,,,,,,,
Tea (caffinated);Mixed alcoholic drinks;None;Other,Tea (caffinated),Water,,,,,,,,,,,,,,,,,,
Tea (caffinated),Tea (caffinated),,,,,,,,,,,,,,,,,,,
Coffee,Tea (caffinated),,,,,,,,,,,,,,,,,,,
Coffee;Water,Tea (caffinated),,,,,,,,,,,,,,,,,,,
Coffee;Fruit juice,Vegatable juice,Water,,,,,,,,,,,,,,,,,,
Coffee;Water;Sports drink,Water,Carbonated water,Other,,,,,,,,,,,,,,,,,
Vegatable juice;Water,Water,,,,,,,,,,,,,,,,,,,
Tea (caffinated);Fruit juice;Water,Water,,,,,,,,,,,,,,,,,,,
Fruit juice;Water,Water,,,,,,,,,,,,,,,,,,,
Coffee;Fruit juice;Water,Water,,,,,,,,,,,,,,,,,,,
Coffee;Fruit juice;Water,Water,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
