date,days,close,date2,Volume,Open,High,Low,
1,1,43.4,3-Jan-17,29507470,$42.97 ,$44.07 ,$42.19 ,42738
2,2,45.4,4-Jan-17,56022800,$42.95 ,$45.60 ,$42.86 ,42739
3,3,45.35,5-Jan-17,29544635,$45.28 ,$45.50 ,$44.39 ,42740
4,4,45.8,6-Jan-17,27620765,$45.39 ,$46.06 ,$45.09 ,42741
5,5,46.26,9-Jan-17,19863580,$45.79 ,$46.38 ,$45.60 ,42744
6,6,45.97,10-Jan-17,18294905,$46.40 ,$46.40 ,$45.38 ,42745
7,7,45.95,11-Jan-17,18249550,$45.81 ,$46.00 ,$45.34 ,42746
8,8,45.92,12-Jan-17,18937735,$45.81 ,$46.14 ,$45.12 ,42747
9,9,47.55,13-Jan-17,30428050,$46 ,$47.57 ,$45.92 ,42748
10,10,47.12,17-Jan-17,23073655,$47.34 ,$47.99 ,$46.87 ,42752
11,11,47.67,18-Jan-17,18836360,$47.33 ,$47.94 ,$47.12 ,42753
12,12,48.75,19-Jan-17,38586220,$49.45 ,$49.74 ,$48.15 ,42754
13,13,48.95,20-Jan-17,20998600,$49.09 ,$49.20 ,$48.60 ,42755
14,14,49.78,23-Jan-17,31310485,$49.17 ,$50.18 ,$49.10 ,42758
15,15,50.92,24-Jan-17,24790720,$50 ,$50.96 ,$49.93 ,42759
16,16,50.89,25-Jan-17,25726505,$51.46 ,$51.69 ,$50.36 ,42760
17,17,50.5,26-Jan-17,15718585,$50.86 ,$51.15 ,$50.15 ,42761
18,18,50.59,27-Jan-17,15808870,$50.28 ,$50.60 ,$49.70 ,42762
19,19,50.13,30-Jan-17,18993190,$50.51 ,$51.06 ,$49.42 ,42765
20,20,50.39,31-Jan-17,20560065,$49.85 ,$51.18 ,$49.54 ,42766
21,21,49.85,1-Feb-17,19765525,$50.61 ,$50.64 ,$49.81 ,42767
22,22,50.31,2-Feb-17,12493995,$49.67 ,$50.48 ,$49.54 ,42768
23,23,50.27,3-Feb-17,10926150,$50.38 ,$50.44 ,$49.94 ,42769
24,24,51.55,6-Feb-17,17788000,$50.20 ,$51.56 ,$50.13 ,42772
25,25,51.5,7-Feb-17,21220315,$51.64 ,$52 ,$51.28 ,42773
26,26,52.42,8-Feb-17,19562140,$51.47 ,$52.67 ,$51.24 ,42774
27,27,53.84,9-Feb-17,39063000,$53.25 ,$54.24 ,$53.23 ,42775
28,28,53.85,10-Feb-17,18091680,$53.96 ,$54.19 ,$53.22 ,42776
29,29,56.12,13-Feb-17,35115360,$54.15 ,$56.16 ,$54.10 ,42779
30,30,56.2,14-Feb-17,36707250,$55.81 ,$57.48 ,$55.72 ,42780
31,31,55.95,15-Feb-17,24719395,$56 ,$56.45 ,$55.29 ,42781
32,32,53.79,16-Feb-17,35319300,$55.52 ,$56 ,$53.70 ,42782
33,33,54.45,17-Feb-17,31257345,$53.16 ,$54.58 ,$52.83 ,42783
34,34,55.48,21-Feb-17,28237875,$55.09 ,$56.28 ,$54.80 ,42787
35,35,54.7,22-Feb-17,42689055,$56.06 ,$56.69 ,$54.52 ,42788
36,36,51.2,23-Feb-17,74385450,$52.80 ,$52.93 ,$51.11 ,42789
37,37,51.4,24-Feb-17,40834345,$50.53 ,$51.65 ,$50.04 ,42790
38,38,49.25,27-Feb-17,57250800,$49.63 ,$49.67 ,$48.40 ,42793
39,39,50,28-Feb-17,30369450,$48.84 ,$50.20 ,$48.78 ,42794
40,40,50,1-Mar-17,24024815,$50.84 ,$50.97 ,$49.82 ,42795
41,41,50.1,2-Mar-17,16728755,$49.94 ,$50.66 ,$49.65 ,42796
42,42,50.31,3-Mar-17,14627405,$50.15 ,$50.38 ,$49.80 ,42797
43,43,50.24,6-Mar-17,16768005,$49.58 ,$50.34 ,$49.50 ,42800
44,44,49.72,7-Mar-17,17262935,$50.38 ,$50.78 ,$49.66 ,42801
45,45,49.37,8-Mar-17,18633730,$49.40 ,$50.01 ,$49.06 ,42802
46,46,48.98,9-Mar-17,19382470,$49.53 ,$49.73 ,$48.60 ,42803
47,47,48.74,10-Mar-17,15313925,$49.24 ,$49.30 ,$48.60 ,42804
48,48,49.23,13-Mar-17,15056400,$48.96 ,$49.37 ,$48.56 ,42807
49,49,51.6,14-Mar-17,37908595,$49.22 ,$51.62 ,$49.20 ,42808
50,50,51.15,15-Mar-17,26166825,$51.40 ,$52.20 ,$50.85 ,42809
51,51,52.41,16-Mar-17,35635900,$52.48 ,$53.15 ,$51.81 ,42810
52,52,52.3,17-Mar-17,32455090,$52.80 ,$53.07 ,$52.24 ,42811
53,53,52.38,20-Mar-17,18008080,$52.12 ,$52.91 ,$51.76 ,42814
54,54,50.14,21-Mar-17,34507775,$52.57 ,$52.96 ,$50.05 ,42815
55,55,51,22-Mar-17,20283675,$50.31 ,$51.01 ,$50.10 ,42816
56,56,50.96,23-Mar-17,16549220,$51.08 ,$51.53 ,$50.66 ,42817
57,57,52.63,24-Mar-17,28188340,$51.14 ,$52.78 ,$51.00 ,42818
58,58,54.04,27-Mar-17,31106805,$52.12 ,$54.11 ,$51.95 ,42821
59,59,55.49,28-Mar-17,39893325,$55.40 ,$56.14 ,$55 ,42822
60,60,55.48,29-Mar-17,18362630,$55.67 ,$55.92 ,$55.11 ,42823
61,61,55.58,30-Mar-17,20707185,$55.61 ,$56.40 ,$55.44 ,42824
62,62,55.66,31-Mar-17,16468490,$55.75 ,$55.94 ,$55.26 ,42825
63,63,59.7,3-Apr-17,69324250,$57.38 ,$59.80 ,$56.92 ,42828
64,64,60.74,4-Apr-17,50541150,$59.38 ,$60.96 ,$58.91 ,42829
65,65,59,5-Apr-17,39292825,$60.41 ,$60.98 ,$58.84 ,42830
66,66,59.74,6-Apr-17,27588655,$59.38 ,$60.39 ,$58.82 ,42831
67,67,60.51,7-Apr-17,22833160,$59.50 ,$60.54 ,$59.43 ,42832
68,68,62.48,10-Apr-17,38268115,$61.83 ,$62.75 ,$61.74 ,42835
69,69,61.74,11-Apr-17,28590265,$62.68 ,$62.69 ,$61.10 ,42836
70,70,59.37,12-Apr-17,30218240,$61.27 ,$61.69 ,$59.26 ,42837
71,71,60.8,13-Apr-17,46378410,$59.34 ,$61.48 ,$59.06 ,42838
72,72,60.29,17-Apr-17,20640335,$60.54 ,$60.80 ,$59.74 ,42842
73,73,60.05,18-Apr-17,15171125,$59.94 ,$60.17 ,$59.58 ,42843
74,74,61.1,19-Apr-17,19455725,$60.49 ,$61.32 ,$60.42 ,42844
75,75,60.5,20-Apr-17,30729805,$61.30 ,$61.83 ,$60.05 ,42845
76,76,61.12,21-Apr-17,22509790,$60.40 ,$61.28 ,$60.08 ,42846
77,77,61.61,24-Apr-17,25388855,$61.84 ,$62.11 ,$61.20 ,42849
78,78,62.76,25-Apr-17,33670810,$61.60 ,$62.80 ,$61.17 ,42850
79,79,62.03,26-Apr-17,23415655,$62.47 ,$62.90 ,$61.80 ,42851
80,80,61.73,27-Apr-17,17313315,$62.34 ,$62.62 ,$61.50 ,42852
81,81,62.81,28-Apr-17,22483295,$61.97 ,$62.96 ,$61.60 ,42853
82,82,64.57,1-May-17,44099440,$62.98 ,$65.45 ,$62.96 ,42856
83,83,63.78,2-May-17,26582755,$64.80 ,$65.53 ,$63.31 ,42857
84,84,62.2,3-May-17,34396295,$63.53 ,$64.31 ,$62.09 ,42858
85,85,59.09,4-May-17,70679950,$61.49 ,$61.55 ,$58.15 ,42859
86,86,61.67,5-May-17,40587245,$59.60 ,$61.71 ,$59.36 ,42860
87,87,61.44,8-May-17,35014535,$62.18 ,$62.76 ,$61.16 ,42863
88,88,64.25,9-May-17,48316870,$61.88 ,$64.40 ,$61.82 ,42864
89,89,65.04,10-May-17,28672620,$64.31 ,$65.10 ,$63.62 ,42865
90,90,64.62,11-May-17,23735860,$64.68 ,$65.20 ,$63.92 ,42866
91,91,64.96,12-May-17,20593065,$65.10 ,$65.40 ,$64.31 ,42867
92,92,63.18,15-May-17,38034270,$63.68 ,$64.04 ,$62.51 ,42870
93,93,63.4,16-May-17,20705330,$63.52 ,$64.01 ,$63.03 ,42871
94,94,61.22,17-May-17,33478285,$62.88 ,$62.93 ,$61.10 ,42872
95,95,62.61,18-May-17,28045765,$61.40 ,$62.79 ,$61.06 ,42873
96,96,62.17,19-May-17,23272900,$63.10 ,$63.30 ,$62.04 ,42874
97,97,62.07,22-May-17,21621525,$62.56 ,$62.87 ,$61.36 ,42877
98,98,60.77,23-May-17,21571335,$62.09 ,$62.15 ,$60.70 ,42878
99,99,62.04,24-May-17,25175960,$61.30 ,$62.20 ,$61.08 ,42879
100,100,63.37,25-May-17,25002160,$62.20 ,$63.39 ,$61.56 ,42880
101,101,65.03,26-May-17,38965045,$63.46 ,$65.10 ,$63.26 ,42881
102,102,67.02,30-May-17,38857680,$65.20 ,$67.26 ,$65.15 ,42885
103,103,68.2,31-May-17,49687780,$67.54 ,$68.58 ,$67.03 ,42886
104,104,68.07,1-Jun-17,38008820,$68.80 ,$68.98 ,$67.46 ,42887
105,105,67.97,2-Jun-17,27919760,$67.95 ,$68.58 ,$67.19 ,42888
106,106,69.46,5-Jun-17,33845870,$67.70 ,$69.69 ,$66.84 ,42891
107,107,70.57,6-Jun-17,55159600,$68.94 ,$71.90 ,$67.99 ,42892
108,108,71.93,7-Jun-17,46743460,$71.27 ,$72.10 ,$71.03 ,42893
109,109,74,8-Jun-17,45143385,$72.75 ,$74.38 ,$72.04 ,42894
110,110,71.46,9-Jun-17,86250300,$74.88 ,$75.37 ,$70.96 ,42895
111,111,71.8,12-Jun-17,52539300,$71.60 ,$72.90 ,$70.12 ,42898
112,112,75.19,13-Jun-17,58866850,$73.52 ,$75.20 ,$73.32 ,42899
113,113,76.13,14-Jun-17,63892400,$76.22 ,$76.85 ,$75.26 ,42900
114,114,75.07,15-Jun-17,52063250,$74.50 ,$75.09 ,$73.30 ,42901
115,115,74.28,16-Jun-17,31737250,$75.60 ,$75.60 ,$74.02 ,42902
116,116,73.96,19-Jun-17,32167170,$75 ,$75.34 ,$73.56 ,42905
117,117,74.45,20-Jun-17,37095550,$75.33 ,$75.78 ,$73.95 ,42906
118,118,75.28,21-Jun-17,24583850,$74.87 ,$75.40 ,$73.60 ,42907
119,119,76.52,22-Jun-17,37552030,$75.60 ,$77 ,$74.71 ,42908
120,120,76.69,23-Jun-17,32125900,$76.49 ,$77.40 ,$75.87 ,42909
121,121,75.5,26-Jun-17,32984270,$77.34 ,$77.39 ,$74.62 ,42912
122,122,72.47,27-Jun-17,34887470,$75.28 ,$75.28 ,$72.40 ,42913
123,123,74.25,28-Jun-17,31451615,$73.34 ,$74.35 ,$72.50 ,42914
124,124,72.15,29-Jun-17,41012315,$74.12 ,$74.20 ,$70.82 ,42915
125,125,72.32,30-Jun-17,29115230,$72.74 ,$73.35 ,$71.92 ,42916
126,126,70.52,3-Jul-17,31527005,$74.05 ,$74.27 ,$70.30 ,42919
127,127,65.42,5-Jul-17,84991500,$69.44 ,$69.45 ,$65.27 ,42921
128,128,61.77,6-Jul-17,96290200,$63.45 ,$64.16 ,$61.26 ,42922
129,129,62.64,7-Jul-17,70649750,$62.70 ,$63.40 ,$61.48 ,42923
130,130,63.21,10-Jul-17,68801450,$62.58 ,$63.59 ,$60.63 ,42926
131,131,65.44,11-Jul-17,57633800,$63.20 ,$65.46 ,$62.86 ,42927
132,132,65.9,12-Jul-17,51586200,$66.08 ,$66.62 ,$64.90 ,42928
133,133,64.68,13-Jul-17,42911575,$66.02 ,$66.32 ,$63.99 ,42929
134,134,65.56,14-Jul-17,28039620,$64.64 ,$65.68 ,$64.24 ,42930
135,135,63.91,17-Jul-17,49137530,$65.11 ,$65.42 ,$62.69 ,42933
136,136,65.65,18-Jul-17,31803550,$63.50 ,$65.83 ,$63.13 ,42934
137,137,65.05,19-Jul-17,31729420,$65.65 ,$66.33 ,$64.64 ,42935
138,138,65.98,20-Jul-17,25712580,$65.38 ,$66.04 ,$64.84 ,42936
139,139,65.68,21-Jul-17,24358540,$65.89 ,$66.25 ,$65.16 ,42937
140,140,68.5,24-Jul-17,42991460,$66.05 ,$68.68 ,$66.00 ,42940
141,141,67.92,25-Jul-17,34889660,$69 ,$69.12 ,$66.83 ,42941
142,142,68.77,26-Jul-17,24047570,$68.07 ,$69.10 ,$67.62 ,42942
143,143,66.89,27-Jul-17,41429395,$69.20 ,$69.50 ,$65.26 ,42943
144,144,67.01,28-Jul-17,24349455,$67.38 ,$67.92 ,$66.50 ,42944
145,145,64.69,31-Jul-17,42627270,$67.10 ,$68.30 ,$64.21 ,42947
146,146,63.91,1-Aug-17,41424985,$64.60 ,$64.89 ,$63.23 ,42948
147,147,65.18,2-Aug-17,59711750,$63.79 ,$65.42 ,$62.24 ,42949
148,148,69.42,3-Aug-17,67621350,$69.07 ,$70 ,$68.63 ,42950
149,149,71.38,4-Aug-17,46166475,$69.40 ,$71.45 ,$68.66 ,42951
150,150,71.03,7-Aug-17,31546655,$71.47 ,$71.90 ,$70.55 ,42954
151,151,73.04,8-Aug-17,37159190,$71.51 ,$73.72 ,$71.48 ,42955
152,152,72.71,9-Aug-17,34405910,$72.20 ,$74 ,$71.79 ,42956
153,153,71.08,10-Aug-17,35315270,$72.32 ,$73.33 ,$70.93 ,42957
154,154,71.57,11-Aug-17,21787810,$71.39 ,$72.25 ,$70.72 ,42958
155,155,72.76,14-Aug-17,22539845,$72.93 ,$73.53 ,$72.52 ,42961
156,156,72.47,15-Aug-17,15423005,$73.04 ,$73.10 ,$71.87 ,42962
157,157,72.58,16-Aug-17,17030865,$72.60 ,$73.30 ,$72.50 ,42963
158,158,70.38,17-Aug-17,25054125,$72.24 ,$72.66 ,$70.32 ,42964
159,159,69.49,18-Aug-17,26954025,$70.58 ,$70.80 ,$69.16 ,42965
160,160,67.57,21-Aug-17,32449250,$69.16 ,$69.16 ,$66.37 ,42968
161,161,68.27,22-Aug-17,21571340,$68.23 ,$68.45 ,$67.47 ,42969
162,162,70.55,23-Aug-17,24709735,$67.80 ,$70.70 ,$67.66 ,42970
163,163,70.59,24-Aug-17,22857870,$70.50 ,$71.33 ,$69.95 ,42971
164,164,69.61,25-Aug-17,17375930,$70.85 ,$71.14 ,$69.46 ,42972
165,165,69.13,28-Aug-17,18731200,$69.46 ,$69.47 ,$67.94 ,42975
166,166,69.47,29-Aug-17,20346515,$67.90 ,$69.81 ,$67.75 ,42976
167,167,70.64,30-Aug-17,17020825,$69.93 ,$70.69 ,$69.40 ,42977
168,168,71.18,31-Aug-17,20316650,$70.71 ,$71.69 ,$70.56 ,42978
169,169,71.08,1-Sep-17,15242750,$71.22 ,$71.52 ,$70.74 ,42979
170,170,69.92,5-Sep-17,19182010,$70.76 ,$71.10 ,$69.18 ,42983
171,171,68.91,6-Sep-17,20410005,$69.90 ,$70.20 ,$68.31 ,42984
172,172,70.12,7-Sep-17,21175225,$69.20 ,$70.50 ,$68.69 ,42985
173,173,68.68,8-Sep-17,16306665,$69.80 ,$69.96 ,$68.46 ,42986
174,174,72.74,11-Sep-17,38255000,$70.27 ,$72.74 ,$70 ,42989
175,175,72.55,12-Sep-17,29831020,$72.90 ,$73.75 ,$72.08 ,42990
176,176,73.25,13-Sep-17,20855925,$72.76 ,$73.61 ,$71.92 ,42991
177,177,75.53,14-Sep-17,35851315,$72.87 ,$75.59 ,$72.53 ,42992
178,178,75.96,15-Sep-17,27036135,$74.90 ,$76 ,$74.54 ,42993
179,179,77,18-Sep-17,35888865,$76.05 ,$77.92 ,$75.54 ,42996
180,180,75.02,19-Sep-17,32176040,$76 ,$76.48 ,$74.71 ,42997
181,181,74.78,20-Sep-17,24549790,$74.60 ,$75.65 ,$74.21 ,42998
182,182,73.3,21-Sep-17,23054360,$74.98 ,$75.37 ,$72.90 ,42999
183,183,70.22,22-Sep-17,40714475,$73.30 ,$73.98 ,$70.18 ,43000
184,184,69,25-Sep-17,37935790,$70.63 ,$71.49 ,$68.58 ,43003
185,185,69.05,26-Sep-17,35748245,$70.19 ,$70.25 ,$68.18 ,43004
186,186,68.19,27-Sep-17,30136875,$69.98 ,$70.30 ,$68.10 ,43005
187,187,67.92,28-Sep-17,26548895,$67.98 ,$68.55 ,$67.08 ,43006
188,188,68.22,29-Sep-17,25495255,$68.37 ,$68.94 ,$67.72 ,43007
189,189,68.31,2-Oct-17,26137735,$68.50 ,$68.74 ,$67.10 ,43010
190,190,69.63,3-Oct-17,50612750,$67.18 ,$69.71 ,$66.26 ,43011
191,191,71,4-Oct-17,40739975,$70.25 ,$71.72 ,$69.92 ,43012
192,192,71.07,5-Oct-17,20839565,$71.20 ,$71.49 ,$70.27 ,43013
193,193,71.38,6-Oct-17,21364330,$70.62 ,$72.02 ,$70.45 ,43014
194,194,68.59,9-Oct-17,37307305,$69.93 ,$70.35 ,$68.53 ,43017
195,195,71.12,10-Oct-17,34861315,$69.36 ,$71.13 ,$69.11 ,43018
196,196,70.92,11-Oct-17,22473665,$70.78 ,$71.52 ,$70.23 ,43019
197,197,71.14,12-Oct-17,20367760,$70.59 ,$71.96 ,$70.53 ,43020
198,198,71.11,13-Oct-17,17694035,$71.40 ,$71.70 ,$70.74 ,43021
199,199,70.12,16-Oct-17,26865450,$70.75 ,$70.90 ,$69.43 ,43024
200,200,71.15,17-Oct-17,16451450,$70.18 ,$71.24 ,$70.01 ,43025
201,201,71.93,18-Oct-17,24680120,$71.19 ,$72.60 ,$70.83 ,43026
202,202,70.36,19-Oct-17,25278575,$71.11 ,$71.43 ,$69.64 ,43027
203,203,69.02,20-Oct-17,24628285,$70.54 ,$70.91 ,$68.87 ,43028
204,204,67.4,23-Oct-17,28697990,$69.98 ,$69.99 ,$67.25 ,43031
205,205,67.47,24-Oct-17,22428460,$67.76 ,$68.56 ,$67.23 ,43032
206,206,65.17,25-Oct-17,42918095,$67.34 ,$67.50 ,$64.71 ,43033
207,207,65.23,26-Oct-17,25050435,$65.56 ,$66.05 ,$64.64 ,43034
208,208,64.17,27-Oct-17,34841825,$63.95 ,$64.92 ,$63.33 ,43035
209,209,64.02,30-Oct-17,21238095,$63.84 ,$64.76 ,$63.45 ,43038
210,210,66.31,31-Oct-17,28250310,$64.05 ,$66.39 ,$64.04 ,43039
211,211,64.22,1-Nov-17,41212435,$66.45 ,$66.52 ,$64.05 ,43040
212,212,59.85,2-Nov-17,98856400,$60.03 ,$61.74 ,$58.53 ,43041
213,213,61.22,3-Nov-17,44429665,$59.90 ,$61.25 ,$59.03 ,43042
