amount,rawSize,size,12755
805000,1668,13.94645237,
1160000,8643,68.08404547,
725000,7002,55.34638181,
1800000,4209,33.66883575,
1160000,6028,47.7872991,
381385,5500,43.68914151,
1180000,8730,68.75931007,
750000,5091,40.51462172,
1306000,6060,48.03567229,
1346280,11862,93.06883575,
913000,3606,28.98855351,
880000,3606,28.98855351,
1100000,7922,62.4878871,
1048000,6049,47.950294,
1110000,6717,53.13508428,
980000,3746,30.0751862,
1864850,10226,80.37075657,
1425000,12648,99.16950216,
1360000,6028,47.7872991,
1800000,6028,47.7872991,
1100000,6254,49.54143473,
894000,5920,46.94903959,
1088800,6631,52.46758134,
725000,1862,15.45221482,
600000,1927,15.95672285,
1328000,5748,45.61403371,
1100000,6006,47.61654253,
860000,4747,37.84460996,
1400000,6060,48.03567229,
1113000,6340,50.20893767,
1186666,6006,47.61654253,
1527800,6017,47.70192082,
851122,3681,29.57067817,
1300000,6017,47.70192082,
1986000,7459,58.89423755,
1818000,6017,47.70192082,
1200000,5199,41.35288122,
750000,6103,48.36942376,
870000,1733,14.45096041,
962000,3778,30.32355939,
1190000,6060,48.03567229,
1165000,6006,47.61654253,
1325000,5156,41.01912975,
990000,3606,28.98855351,
880000,5974,47.36816935,
1150000,6480,51.29557036,
815000,3541,28.48404547,
1025000,2239,18.37836143,
1260000,7169,56.64335555,
1000000,6006,47.61654253,
915000,12131,95.15672285,
4000000,3789,30.40816151,
950000,6006,47.61654253,
1380000,6006,47.61654253,
1158800,6006,47.61654253,
990000,5963,47.28279106,
1050888,6964,55.05221482,
1050000,6351,50.29431595,
760716,11359,89.16549588,
957700,4510,36.00509604,
991950,4499,35.91971776,
958000,4510,36.00509604,
1150000,11894,93.31720894,
1400000,5511,43.7745198,
400830,7933,62.57326539,
710020,3520,28.32105057,
1018000,7190,56.80635045,
1100000,5640,44.77577421,
1160000,9580,75.35672285,
348750,5856,46.45229322,
721000,4510,36.00509604,
1000000,1711,14.28020384,
1238800,6028,47.7872991,
1623000,6667,52.74909682,
1700000,6706,53.049706,
1050000,7545,59.56174049,
900000,1453,12.27769502,
894000,3670,29.48529988,
1244800,7384,58.3121129,
1000000,5888,46.70066641,
1058000,5888,46.70066641,
1180000,7136,56.3872207,
1100000,6910,54.63308506,
950000,7513,59.31336731,
980000,7115,56.22422579,
1231000,6232,49.37067817,
1070000,6039,47.87267738,
1125000,6039,47.87267738,
1338000,6243,49.45605645,
800000,3939,31.56930615,
4000000,3317,26.74853783,
1250000,6555,51.87769502,
808000,3348,26.98604469,
1000000,5543,44.02289298,
1100000,5543,44.02289298,
781600,3627,29.15154841,
957000,11571,90.81019208,
1310000,4607,36.75797726,
1310000,6028,47.7872991,
839000,3272,26.39615837,
1300000,6168,48.87393179,
1250000,5285,42.02038416,
1210000,6006,47.61654253,
1180000,6039,47.87267738,
1360000,6243,49.45605645,
1090000,8385,66.08153665,
1400000,9849,77.44460996,
725000,1819,15.11846335,
1120000,6394,50.62806742,
703000,1927,15.95672285,
986000,3670,29.48529988,
839888,3617,29.07393179,
780000,3692,29.65605645,
700000,1378,11.69557036,
865250,3617,29.07393179,
1420000,7847,61.90576245,
1268000,5856,46.45229322,
935000,6609,52.29682477,
970000,6275,49.70442964,
820000,3670,29.48529988,
1060000,10097,79.36950216,
886000,3595,28.90317523,
1100000,5285,42.02038416,
1409977,6006,47.61654253,
997000,3864,30.99106233,
980000,3606,28.98855351,
920000,3595,28.90317523,
850000,3606,28.98855351,
1020000,3606,28.98855351,
1200000,5511,43.7745198,
850000,5479,43.52614661,
1035000,6577,52.04845159,
862800,3380,27.23441788,
1168000,7836,61.82038416,
1070000,3617,29.07393179,
1111000,6157,48.78855351,
795000,2207,18.12998824,
973000,3606,28.98855351,
1045500,5511,43.7745198,
1055000,5522,43.85989808,
945500,2616,21.30450804,
975000,5522,43.85989808,
1338888,6663,52.71595453,
790000,3606,28.98855351,
725000,3520,28.32105057,
955000,8805,69.34143473,
900000,1787,14.87009016,
900000,1830,15.20384163,
1250000,7190,56.80635045,
1412000,5673,45.03190906,
1056000,3606,28.98855351,
945000,3617,29.07393179,
1440000,7330,57.89298314,
1421000,5952,47.19741278,
107658,3606,28.98855351,
876000,3638,29.2369267,
955000,6609,52.29682477,
960000,8740,68.8369267,
740000,4155,33.249706,
950000,3606,28.98855351,
1430000,6092,48.28404547,
962800,4758,37.92998824,
925000,4392,35.08921991,
1410000,10495,82.45864367,
932500,4327,34.58471188,
1310000,6017,47.70192082,
770000,5511,43.7745198,
1455000,6125,48.54018032,
780000,3606,28.98855351,
1250000,5974,47.36816935,
1200000,6717,53.13508428,
1238000,6071,48.12105057,
1133000,6168,48.87393179,
823000,3681,29.57067817,
1130000,5963,47.28279106,
1305000,8159,64.32740102,
435000,6146,48.70317523,
1392000,6135,48.61779694,
945000,5511,43.7745198,
1251800,4445,35.500588,
833000,1389,11.78094865,
1551300,6017,47.70192082,
724500,1668,13.94645237,
912000,3907,31.3248138,
700000,4123,33.00133281,
766500,3606,28.98855351,
807000,3821,30.65731086,
941000,3326,26.81528812,
785000,3789,30.40893767,
1070000,6006,47.61654253,
1015000,6006,47.61654253,
1815000,6232,49.37067817,
1000000,9763,76.77710702,
1088000,3821,30.65731086,
1440000,6017,47.70192082,
948000,3606,28.98855351,
743800,4478,35.75672285,
891000,3714,29.82681301,
935000,3714,29.82681301,
