job_type_code,job_subtype_code,job_type,job_subtype,num_jobs_male,median_male,num_jobs_female,median_female,num_jobs,proportion_female,pay_gap
1,11,"Managers, directors and senior officials",Corporate managers and directors,1461,23.75,700,20.36,2161,32.39241092,1668
1,12,"Managers, directors and senior officials",Other managers and proprietors,229,14.67,207,13.59,436,47.47706422,8643
2,21,Professional occupations,"Science, research, engineering and technology professionals",1038,21.09,246,19.05,1284,19.1588785,70019
2,22,Professional occupations,Health professionals,359,21.03,1145,17.77,1504,76.13031915,4209
2,23,Professional occupations,Teaching and educational professionals,520,23.6,947,21.76,1467,64.55351057,6028
2,24,Professional occupations,"Business, media and public service professionals",821,20.37,586,18.65,1407,41.64889837,5500
3,31,Associate professional and technical occupations,"Science, engineering and technology associate professionals",522,14.49,171,12.13,693,24.67532468,8730
3,32,Associate professional and technical occupations,Health and social care associate professionals,99,13.34,242,12.52,341,70.96774194,5091
3,33,Associate professional and technical occupations,Protective service occupations,298,18.29,111,18.19,409,27.1393643,6060
3,34,Associate professional and technical occupations,"Culture, media and sports occupations",139,13.78,99,12.78,238,41.59663866,11862
3,35,Associate professional and technical occupations,Business and public service associate professionals,1134,17.99,1032,14.87,2166,47.64542936,3606
4,41,Administrative and secretarial occupations,Administrative occupations,713,11.81,1745,10.77,2458,70.99267697,3606
4,42,Administrative and secretarial occupations,Secretarial and related occupations,58,9.23,571,9.92,629,90.77901431,7922
5,51,Skilled trades occupations,Skilled agricultural and related trades,99,9.51,10,9.26,109,9.174311927,6049
5,52,Skilled trades occupations,"Skilled metal, electrical and electronic trades",977,13.76,30,12.07,1007,2.979145978,6717
5,53,Skilled trades occupations,Skilled construction and building trades,305,12.51,6,10.44,311,1.92926045,3746
5,54,Skilled trades occupations,"Textiles, printing and other skilled trades",335,9.25,170,8.59,505,33.66336634,10226
6,61,"Caring, leisure and other service occupations",Caring personal service occupations,301,9.32,1749,9.07,2050,85.31707317,12648
6,62,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",167,9.81,274,8.63,441,62.13151927,6028
7,71,Sales and customer service occupations,Sales occupations,578,8.48,971,8,1549,62.68560362,6028
7,72,Sales and customer service occupations,Customer service occupations,230,9.83,340,9.82,570,59.64912281,6254
8,81,"Process, plant and machine operatives","Process, plant and machine operatives",591,10.6,155,8.5,746,20.77747989,5920
8,82,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,767,10.72,34,9.2,801,4.244694132,6631
9,91,Elementary occupations,Elementary trades and related occupations,260,9.24,96,8,356,26.96629213,1862
9,92,Elementary occupations,Elementary administration and service occupations,1258,8.58,1347,7.85,2605,51.70825336,1927
,,,,,,,,2161,32.39241092,5748
,,,,,,,,436,47.47706422,6006
,,,,,,,,1284,19.1588785,4747
,,,,,,,,1504,76.13031915,6060
,,,,,,,,1467,64.55351057,6340
,,,,,,,,1407,41.64889837,6006
,,,,,,,,693,24.67532468,6017
,,,,,,,,341,70.96774194,3681
,,,,,,,,409,27.1393643,6017
,,,,,,,,238,41.59663866,7459
,,,,,,,,2166,47.64542936,6017
,,,,,,,,2458,70.99267697,5199
,,,,,,,,629,90.77901431,6103
,,,,,,,,109,9.174311927,1733
,,,,,,,,1007,2.979145978,3778
,,,,,,,,311,1.92926045,6060
,,,,,,,,505,33.66336634,6006
,,,,,,,,2050,85.31707317,5156
,,,,,,,,441,62.13151927,3606
,,,,,,,,1549,62.68560362,5974
,,,,,,,,570,59.64912281,6480
,,,,,,,,746,20.77747989,3541
,,,,,,,,801,4.244694132,2239
,,,,,,,,356,26.96629213,7169
,,,,,,,,2605,51.70825336,6006
,,,,,,,,2161,32.39241092,12131
,,,,,,,,436,47.47706422,37889
,,,,,,,,1284,19.1588785,6006
,,,,,,,,1504,76.13031915,6006
,,,,,,,,1467,64.55351057,6006
,,,,,,,,1407,41.64889837,5963
,,,,,,,,693,24.67532468,6964
,,,,,,,,341,70.96774194,6351
,,,,,,,,409,27.1393643,113591
